player_id,player_slug,first_name,last_name,birthdate,turned_pro,weight_kg,height_cm
a202,wayne-arthurs,Wayne,Arthurs,1971.03.18,1990,80,191
a203,karim-alami,Karim,Alami,1973.05.24,1990,85,185
a207,roberto-alvarez,Roberto,Alvarez,1971.02.23,0,0,0
a213,stephane-andriolo,Stephane,Andriolo,,0,0,0
a209,xavier-avila,Xavier,Avila,1973.12.10,0,73,183
a217,yenesi-allen,Yenesi,Allen,,0,0,0
a216,lawrence-awopegba,Lawrence,Awopegba,,0,0,0
a224,patricio-arnold,Patricio,Arnold,1971.10.20,0,73,183
a226,hicham-arazi,Hicham,Arazi,1973.10.19,1993,65,175
a228,lucas-arnold-ker,Lucas,Arnold Ker,1974.10.12,1994,76,180
a234,pietro-angelini,Pietro,Angelini,1971.12.07,0,0,0
a241,thomas-andersen,Thomas,Andersen,,0,0,0
a244,nasser-ghanim-al-khulaifi,Nasser-Ghanim,Al-Khulaifi,1973.11.12,0,0,0
a270,charles-auffray,Charles,Auffray,1973.02.24,1996,83,183
a272,julian-alonso,Julian,Alonso,1977.08.02,1996,82,185
a276,jan-frode-andersen,Jan Frode,Andersen,1972.08.29,1997,85,191
a280,henrik-andersson,Henrik,Andersson,1977.05.02,0,0,0
a293,yves-allegro,Yves,Allegro,1978.08.24,1997,82,183
a303,leonardo-azzaro,Leonardo,Azzaro,1978.05.30,1997,75,188
a305,jacob-adaktusson,Jacob,Adaktusson,1980.08.31,0,87,193
a308,florian-allgauer,Florian,Allgauer,1979.01.07,0,0,0
a310,emin-agaev,Emin,Agaev,1979.05.14,1999,77,0
a316,diego-ayala,Diego,Ayala,1979.04.29,1998,77,175
a311,hugo-armando,Hugo,Armando,1978.05.27,1997,82,183
a318,patricio-arquez,Patricio,Arquez,1980.04.12,0,0,0
a324,simon-aspelin,Simon,Aspelin,1974.05.11,1998,79,185
a340,francesco-aldi,Francesco,Aldi,1981.09.17,1999,75,175
a356,thierry-ascione,Thierry,Ascione,1981.01.17,2000,89,188
a366,diego-alvarez,Diego,Alvarez,1980.03.06,0,0,0
a373,james-auckland,James,Auckland,1980.04.01,1999,79,0
a380,clayton-almeida,Clayton,Almeida,1980.12.26,0,0,0
a385,mario-ancic,Mario,Ancic,1984.03.30,2001,82,196
a389,jose-acasuso,Jose,Acasuso,1982.10.20,1999,86,191
a392,artemon-apostu-efremov,Artemon,Apostu-Efremov,1979.06.19,0,0,0
a391,maximilian-abel,Maximilian,Abel,1982.02.28,0,76,0
a404,johannes-ager,Johannes,Ager,1984.03.10,2003,80,196
a410,thiago-alves,Thiago,Alves,1982.05.22,2000,75,178
a427,alfredo-acuna,Alfredo,Acuna,1946.11.22,0,0,0
a412,andrea-agazzi,Andrea,Agazzi,1982.07.23,0,0,0
a432,patricio-apey,Patricio,Apey,,0,0,0
a438,andrew-anderson,Andrew,Anderson,1983.04.08,2002,79,193
a451,bob-abbott,Bob,Abbott,,0,0,0
a450,kenneth-andersson,Kenneth,Andersson,,0,0,0
a448,ernesto-aguirre,Ernesto,Aguirre,,0,0,0
a457,jorge-aguilar,Jorge,Aguilar,1985.01.08,,68,178
a467,mariano-albert-ferrando,Mariano,Albert-Ferrando,1982.04.26,0,0,0
a478,jae-sung-an,Jae-Sung,An,1985.05.28,0,0,0
a479,nicolas-almagro,Nicolas,Almagro,1985.08.21,2003,86,183
a490,jack-acheson,Jack,Acheson,,0,0,0
a488,rich-anderson,Rich,Anderson,,0,0,0
a487,prakash-amritraj,Prakash,Amritraj,1983.10.02,2003,75,188
a494,karim-alayli,Karim,Alayli,1983.03.24,0,0,0
a502,juan-martin-aranguren,Juan-Martin,Aranguren,1983.10.07,0,0,0
a499,omar--alawadhi,Omar ,Alawadhi,1982.01.16,,,
a503,musaad-al-jazzaf,Musaad,Al Jazzaf,1984.04.20,0,0,0
a511,igor-andreev,Igor,Andreev,1983.07.14,2002,80,185
a517,marc-auradou,Marc,Auradou,1984.07.09,0,0,0
a536,stephen-amritraj,Stephen,Amritraj,1984.03.28,0,0,0
a539,martin-alund,Martin,Alund,1985.12.26,,80,183
a557,george-andrews,George,Andrews,,0,0,0
a559,john-allgood,John,Allgood,,0,0,0
a560,stephen-avoyer,Stephen,Avoyer,1948.04.28,0,0,0
a563,haythem-abid,Haythem,Abid,1985.07.17,0,0,0
a564,hugo-anao,Hugo,Anao,,0,0,0
a570,ali-ghareeb,Ali,Ghareeb,1986.03.16,0,0,0
a609,khalid-al-nabhani,Khalid,Al Nabhani,1982.09.02,0,0,0
a596,pablo-andujar,Pablo,Andujar,1986.01.23,2003,76,180
a584,theodoros-angelinos,Theodoros,Angelinos,1984.05.29,0,0,0
a618,mohammed-abdulla,Mohammed,Abdulla,1985.05.23,0,0,0
a622,andrea-arnaboldi,Andrea,Arnaboldi,1987.12.27,2006,72,180
a620,rafael-arevalo,Rafael,Arevalo,1986.07.04,0,0,0
a630,ali-el-alaoui,Ali,El Alaoui,1986.02.21,,,
a639,bob-adams,Bob,Adams,,0,0,0
a633,victor-mugurel-anagnastopol,Victor-Mugurel,Anagnastopol,1986.03.23,0,0,0
a640,beyazit-anbar,Beyazit,Anbar,,0,0,0
a635,roberto-aubone,Roberto,Aubone,,0,0,0
a650,ardyanto--suta-wibawa,Ardyanto ,Suta-Wibawa,,0,0,0
a653,mohammed-al-nabhani,Mohammed,Al Nabhani,1985.09.01,0,0,0
a641,orhan-atas,Orhan,Atas,,0,0,0
a642,cahit-atas,Cahit,Atas,,0,0,0
a672,ricardo-aubone,Ricardo,Aubone,,0,0,0
a663,aleksandr-agafonov,Aleksandr,Agafonov,1986.02.23,0,0,0
a656,guillermo-alcaide,Guillermo,Alcaide,1986.05.27,0,77,188
a674,juan-pablo-amado,Juan-Pablo,Amado,1986.04.02,0,0,0
a675,john-adams,John,Adams,,0,0,0
a678,kevin-anderson,Kevin,Anderson,1986.05.18,2007,93,203
a679,ivan-anikanov,Ivan,Anikanov,1988.03.15,0,0,0
a703,adnan-al-mahmoud,Adnan,Al Mahmoud,1988.06.06,0,0,0
a704,gleb-alekseenko,Gleb,Alekseenko,1983.05.19,0,85,191
a706,syrym-abdukhalikov,Syrym,Abdukhalikov,1987.08.07,0,0,0
a707,bruno-agostinelli,Bruno,Agostinelli,1987.04.01,0,0,0
a725,vadim-alekseenko,Vadim,Alekseenko,1983.05.19,0,85,191
a732,arnaud-agniel,Arnaud,Agniel,1982.01.23,0,0,0
a741,jean-andersen,Jean,Andersen,1988.06.17,0,0,0
a742,ahmed-abdrabuh,Ahmed,Abdrabuh,1985.05.23,0,0,0
a749,pedro-ast,Pedro,Ast,1988.08.12,0,0,0
a755,hashim-abdal,Hashim,Abdal,1989.11.26,0,0,0
a759,jean-yves-aubone,Jean-Yves,Aubone,1988.01.10,0,73,178
a764,tuna-altuna,Tuna,Altuna,1989.01.30,,80,185
a787,ivan-arenas-gualda,Ivan,Arenas-Gualda,1990.10.31,0,0,0
a789,maxime-authom,Maxime,Authom,1987.03.29,0,0,0
a798,iain-atkinson,Iain,Atkinson,1988.10.02,0,0,0
a803,mauricio-astorga,Mauricio,Astorga,1991.06.19,0,74,0
a806,miles-armstrong,Miles,Armstrong,1986.04.16,0,0,0
a824,guillermo-alcorta-olarra,Guillermo,Alcorta-Olarra,1989.06.16,0,0,0
a825,bogdan-andrii,Bogdan,Andrii,1989.06.30,0,0,0
a829,radu-albot,Radu,Albot,1989.11.11,2008,69,175
a837,toni-androic,Toni,Androic,1991.12.28,2010,73,168
a853,marcelo-arevalo,Marcelo,Arevalo,1990.10.17,2012,86,191
a861,danila-arsenov,Danila,Arsenov,1989.06.09,0,70,183
a874,miguel-almeida,Miguel,Almeida,1992.06.29,0,0,0
a887,guido-andreozzi,Guido,Andreozzi,1991.08.05,2010,77,183
a930,hamad-abbas-janahi,Hamad Abbas,Janahi,1990.08.04,,,
a931,jasmin-ademovic,Jasmin,Ademovic,1991.08.24,0,0,0
a938,omar-aboushalam,Omar,Aboushalam,,0,0,0
a941,facundo-arguello,Facundo,Arguello,1992.08.04,,77,178
a967,vugar-aliev,Vugar,Aliev,1993.09.03,0,0,0
a943,vasile-antonescu,Vasile,Antonescu,1990.03.24,0,82,183
a961,matthew-allare,Matthew,Allare,1989.03.19,0,0,0
a975,anthony-assal,Anthony,Assal,1992.06.02,0,0,0
aa17,hamza-aglaib,Hamza,Aglaib,1990.03.10,0,0,0
aa60,elwin-antony,Elwin,Antony,1991.10.06,,,
aa23,jack-anton,Jack,Anton,1991.09.25,,,
aa61,renato-assad,Renato,Assad,1992.10.03,,,
aa72,aitor-aramburu,Aitor,Aramburu,1991.11.30,,,
aa74,hamad-al-mulla,Hamad,Al Mulla,1992.08.16,,,
aa78,mohamed-adnaoui,Mohamed,Adnaoui,1984.12.09,,78,185
ab11,kalle-averfalk,Kalle,Averfalk,1992.04.07,,,
aa81,romain-arneodo,Romain,Arneodo,1992.08.04,,70,175
ab12,isak-arvidsson,Isak,Arvidsson,1992.08.06,,79,188
ab17,andres-artunedo-martinavarro,Andres,Artunedo Martinavarro,1993.09.14,2011,75,183
ab40,albert-alcaraz-ivorra,Albert,Alcaraz Ivorra,1995.05.15,,85,191
ab46,abdulrahman-al-harib,Abdulrahman,Al Harib,1995.01.24,,,
ab47,osvaldo-aguirre,Osvaldo,Aguirre,1986.03.12,,,
ab52,khalid-allouch,Khalid,Allouch,1991.06.03,,,
ab85,andrew-adams,Andrew,Adams,1993.03.18,,,
ab64,andrei-stefan-apostol,Andrei Stefan,Apostol,1995.02.25,,74,
ab68,ahmed-deedat-abdul-razak,Ahmed Deedat,Abdul Razak,1995.06.18,,,
ab90,bogdan-ionut-apostol,Bogdan Ionut,Apostol,1996.01.17,,,
ac01,roberto-affonso,Roberto,Affonso,1994.02.09,,75,170
ac23,jabor-al-mutawa,Jabor,Al-Mutawa,1994.05.27,,,
ac39,mubarak-shannan-zayid,Mubarak Shannan,Zayid,1995.04.14,,,
ac41,ali-al-saygh,Ali,Al-Saygh,1996.02.12,,,
ac74,manuel-arias,Manuel,Arias,1997.05.21,,,
ac84,collin-altamirano,Collin,Altamirano,1995.12.07,,84,188
ac76,jay-andrijic,Jay,Andrijic,1995.10.03,,,
ac95,abdulla-al-mohamoud,Abdulla,Al Mohamoud,1996.11.02,,,
ac98,abdulla-al-jufairi,Abdulla,Al-Jufairi,1997.08.29,,,
ad00,jassem-al-zeyara,Jassem,Al Zeyara,1997.12.09,,,
ad04,sarp-agabigun,Sarp,Agabigun,1997.06.12,,75,178
ad08,r-armytage,R.,Armytage,,,,
ad09,t-ayling,T.,Ayling,,,,
ad10,j-adams,J.,Adams,,,,
ad11,antonio-andrade,Antonio,Andrade,,,,
ad14,athanasios-anastopoulos,Athanasios,Anastopoulos,1958.02.05,,,
ad18,unknown-akhtar,Unknown,Akhtar,,,,
ad19,shirzad-akbari,Shirzad,Akbari,,,,
ad20,budiman-aznar,Budiman,Aznar,,,,
ad23,oliver-anderson,Oliver,Anderson,1998.04.30,,73,175
ad41,daniel-appelgren,Daniel,Appelgren,1996.05.06,,67,175
ad42,b-akbari,B.,Akbari,,,,
ad43,unknown-alvarez,Unknown,Alvarez,,,,
ad45,g-atwell,G.,Atwell,,,,
ad46,maurizio-aracri,Maurizio,Aracri,1952.01.09,,,
ad49,jordi-arconada,Jordi,Arconada,1996.09.06,,70,180
ad50,alberto-arilla,Alberto,Arilla,,,,
ad51,andras-adam-stolpa,Andras,Adam-Stolpa,1921.09.15,,,
ad52,charles-applewhaite,Charles,Applewhaite,,,,
ad53,masanori-asai,Masanori,Asai,,,,
ad56,srikar-alla,Srikar,Alla,1993.07.25,,,
ad59,bernard-adelsberg,Bernard,Adelsberg,,,,
ad58,felicisimo-ampon,Felicisimo,Ampon,1920.01.27,,,
ad60,robert-abdesselam,Robert,Abdesselam,1920.01.27,,,
ad63,sultan-aman-azman,Sultan-Aman,Azman,,,,
ad65,david-asz,David,Asz,,,,
ad66,trevor-adamson,Trevor,Adamson,,,,
ad64,akhtar-ali,Akhtar,Ali,1939.07.05,,,
ad67,roger-ambrose,Roger,Ambrose,1940.04.13,,,
ad68,daniel-achondo,Daniel,Achondo,1939.10.05,,,
ad70,gerard-alleyne,Gerard,Alleyne,,,,
ad69,eduardo-argon,Eduardo,Argon,,,,
ad71,arthur-andrews,Arthur,Andrews,,,,
ad72,arie-avidan-weiss,Arie,Avidan-Weiss,1928.04.19,,,
ad73,edward-atkinson,Edward,Atkinson,,,,
ad75,jack-arkinstall,Jack,Arkinstall,,,,
ad74,jozsef-asboth,Jozsef,Asboth,1917.09.18,,,
ad76,robert-alger,Robert,Alger,,,,
ad77,rafiq-ahmad,Rafiq,Ahmad,,,,
ad78,john-ager,John,Ager,,,,
ad79,jose-aguero,Jose,Aguero,1933.02.27,,,
ad80,ian-ayre,Ian,Ayre,,,,
ad81,thomas-anderson,Thomas,Anderson,,,,
ad84,adrian-alle,Adrian,Alle,1930.03.04,,,
ad85,jeffrey-arnold,Jeffrey,Arnold,,,,
ad86,art-anderson,Art,Anderson,,,,
ad87,edward-alloo,Edward,Alloo,,,,
ad88,max-albrecht,Max,Albrecht,,,,
ad89,bengt-axelsson,Bengt,Axelsson,1928.11.12,,,
ad91,garner-anthony,Garner,Anthony,,,,
ad92,mordechai-apel,Mordechai,Apel,,,,
ad93,mahmoud-alam,Mahmoud,Alam,,,,
ad94,wilmer-allison,Wilmer,Allison,1904.12.08,,,
ad95,jacques-arago,Jacques,Arago,,,,
ad96,leonce-aslangul,Leonce,Aslangul,,,,
ad97,jean-augustin,Jean,Augustin,,,,
ad98,edward-avory,Edward,Avory,,,,
ad99,manuel-alonso-areyzaga,Manuel,Alonso-Areyzaga,1895.11.12,,,
ae00,pierre-albarran,Pierre,Albarran,,,,
ae01,adrien-aron,Adrien,Aron,,,,
ae02,charles-aeschliman,Charles,Aeschliman,,,,
ae04,howe-atwater,Howe,Atwater,,,,
ae03,andres-arce,Andres,Arce,,,,
ae05,iftikar-ahmed,Iftikar,Ahmed,,,,
ae06,john-archer,John,Archer,,,,
ae09,raymond-antignat,Raymond,Antignat,,,,
ae07,eskell-andrews,Eskell,Andrews,1905.07.31,,,
ae10,walter-anderson,Walter,Anderson,,,,
ae19,ralph-adair,Ralph,Adair,,,,
ae21,edwin-amark,Edwin,Amark,,,,
ae20,marvin-anthony,Marvin,Anthony,,,,
ae22,walter-arenberg,Walter,Arenberg,,,,
ae23,owen-anderson,Owen,Anderson,,,,
ae25,juan-aguirre,Juan,Aguirre,,,,
ae24,john-norman-anderson,John Norman,Anderson,,,,
ae26,edward-anstee,Edward,Anstee,,,,
ae27,morris-adelsberg,Morris,Adelsberg,,,,
ae28,w-anstee,W.,Anstee,,,,
ae30,khan-iftikhar-ahmed,Khan-Iftikhar,Ahmed,,,,
ae29,bunny-austin,Bunny,Austin,1906.08.20,,,
ae31,kaiman-aschner,Kaiman,Aschner,,,,
ae45,tamino-abe,Tamino,Abe,1902.09.29,,,
ae48,joseph-abrams,Joseph,Abrams,,,,
ae49,john-anderson,John,Anderson,,,,
ae50,charles-angus,Charles,Angus,,,,
ae51,modeste-alloo,Modeste,Alloo,,,,
ae53,iwao-aoki,Iwao,Aoki,,,,
ae54,eric-attewell,Eric,Attewell,,,,
ae60,frederick-anderson,Frederick,Anderson,,,,
ae61,ernst-asmussen,Ernst,Asmussen,,,,
ae62,c-aranha,C.,Aranha,,,,
ae63,gr-ashton,G.R.,Ashton,,,,
ae64,k-appel,K.,Appel,,,,
ae65,j-armstrong,J.,Armstrong,,,,
ae68,w-aydelotte,W.,Aydelotte,,,,
ae70,lionel-alderson,Lionel,Alderson,,,,
ae69,james-anderson,James,Anderson,1895.09.17,,,
ae71,harold-aitken,Harold,Aitken,,,,
ae81,guillermo-aragon,Guillermo,Aragon,,,,
ae83,eric-andrea,Eric,Andrea,,,,
ae84,e-ashcroft,E.,Ashcroft,,,,
ae82,j-andreu,J.,Andreu,,,,
ae85,pe-allison,P.E.,Allison,,,,
ae86,nc-abrams,N.C.,Abrams,,,,
ae87,jose-maria-alonso-areyzaga,Jose-Maria,Alonso-Areyzaga,1890.03.28,,,
ae89,l-addison,L.,Addison,,,,
ae88,frank-anderson,Frank,Anderson,,,,
ae90,aw-asthalter,A.W.,Asthalter,,,,
ae91,l-andrews,L.,Andrews,,,,
ae92,h-askham,H.,Askham,,,,
ae93,g-alston,G.,Alston,,,,
ae96,h-addison,H.,Addison,,,,
ae98,m-ackerland,M.,Ackerland,,,,
ae97,j-adoue,J.,Adoue,,,,
ae99,m-allen,M.,Allen,,,,
af00,e-appleby,E.,Appleby,,,,
af01,w-anderson,W.,Anderson,,,,
af02,fred-alexander,Fred,Alexander,1880.08.14,,,
af03,jw-anderson,J.W.,Anderson,,,,
af04,j-allen,J.,Allen,,,,
af05,h-adams,H.,Adams,,,,
af06,r-allen,R.,Allen,,,,
af07,a-allen,A.,Allen,,,,
af08,t-andrews,T.,Andrews,,,,
af09,v-astor,V.,Astor,,,,
af10,g-achelis,G.,Achelis,,,,
af11,aw-andrews,A.W.,Andrews,,,,
af12,cj-adams,C.J.,Adams,,,,
af13,g-adee,G.,Adee,,,,
af14,g-anson,G.,Anson,,,,
af16,unknown-allom,Unknown,Allom,,,,
af15,j-addison,J.,Addison,,,,
af17,r-anceau,R.,Anceau,,,,
af18,george-allen,George,Allen,,,,
af19,r-auspitzer,R.,Auspitzer,,,,
af20,c-amory,C.,Amory,,,,
af21,g-adams,G.,Adams,,,,
af22,sydney-adams,Sydney,Adams,,,,
af23,w-astor,W.,Astor,,,,
af24,j-ames,J.,Ames,,,,
af25,c-andrews,C.,Andrews,,,,
af26,j-alexander,J.,Alexander,,,,
af27,d-appleton,D.,Appleton,,,,
af28,h-alexander,H.,Alexander,,,,
af32,amine-ahouda,Amine,Ahouda,1997.09.11,2013,76,185
af42,j-arenholt,J.,Arenholt,,,,
af44,r-agassiz,R.,Agassiz,,,,
af43,ws-andrews,W.S.,Andrews,,,,
af45,h-allen,H.,Allen,,,,
af46,h-avery,H.,Avery,,,,
af47,sr-arthur,S.R.,Arthur,,,,
af48,e-roy-allen,E. Roy,Allen,,,,
af49,c-allen,C.,Allen,,,,
af50,s-atkey,S.,Atkey,,,,
af51,e-archibald-thomson,E.,Archibald Thomson,,,,
af53,e-avory,E.,Avory,,,,
af55,g-arbuthnot,G.,Arbuthnot,,,,
af56,w-adams,W.,Adams,,,,
af57,f-ashley,F.,Ashley,,,,
af58,b-akroyd,B.,Akroyd,,,,
af59,m-agelasto,M.,Agelasto,,,,
af60,w-ames,W.,Ames,,,,
af61,allen,.,Allen,,,,
af62,unknown-anderson,Unknown,Anderson,,,,
af66,goncalo-andrade,Goncalo,Andrade,1998.12.02,,,
af67,joao-antonio,Joao,Antonio,1999.04.30,,,
ag37,felix-auger-aliassime,Felix,Auger-Aliassime,2000.08.08,2016,84,188
b001,mansour-bahrami,Mansour,Bahrami,1956.04.26,,82,178
b002,joel-bailey,Joel,Bailey,1951.04.25,,,
b004,bernard-balleret,Bernard,Balleret,1954.05.11,,,
b005,stuart-bale,Stuart,Bale,1964.01.21,,82,185
b006,bobby-banck,Bobby,Banck,1964.05.16,,58,165
b007,corrado-barazzutti,Corrado,Barazzutti,1953.02.19,,70,178
b008,mike-baroch,Mike,Baroch,1966.06.01,,,
b009,luis-baraldi,Luis,Baraldi,1951.10.21,,,
b010,russell-barlow,Russell,Barlow,1962.12.18,,70,173
b012,jorge-bardou,Jorge,Bardou,1965.03.05,,76,180
b013,mike-barr,Mike,Barr,1956.06.27,,,
b018,marcello-bassanelli,Marcello,Bassanelli,,,,
b015,givaldo-barbosa,Givaldo,Barbosa,1954.01.25,,70,183
b019,peter-bastiansen,Peter,Bastiansen,1962.05.03,,80,193
b020,mark-basham,Mark,Basham,1962.04.24,1986,64,175
b021,jeremy-bates,Jeremy,Bates,1962.06.19,1982,73,180
b022,ronnie-bathman,Ronnie,Bathman,1959.04.24,1983,75,183
b023,mike-bauer,Mike,Bauer,1959.06.29,1982,84,188
b025,tasos-bavelas,Tasos,Bavelas,1968.02.27,,,
b026,rill-baxter,Rill,Baxter,1962.10.26,,78,183
b027,charles-beckman,Charles,Beckman,1965.03.01,1987,84,185
b028,boris-becker,Boris,Becker,1967.11.22,1984,85,191
b029,jaromir-becka,Jaromir,Becka,1963.07.06,,68,175
b031,helmut-beermann,Helmut,Beermann,1955.03.09,,,
b030,dominique-bedel,Dominique,Bedel,1957.02.20,,73,185
b032,kelvin-belcher,Kelvin,Belcher,1961.09.20,,79,185
b033,marco-bellini,Marco,Bellini,,,,
b034,ramiro-benavides,Ramiro,Benavides,1947.01.30,,,
b035,eduardo-bengoechea,Eduardo,Bengoechea,1959.07.02,,78,185
b037,tarik-benhabiles,Tarik,Benhabiles,1965.02.05,,64,175
b038,rudiger-benz,Rudiger,Benz,1965.02.10,,,
b040,christian-bergstrom,Christian,Bergstrom,1967.07.19,1985,68,180
b042,hans-dieter-beutel,Hans-Dieter,Beutel,1962.06.12,,79,185
b043,george-bezecny,George,Bezecny,1963.03.24,,75,183
b045,stephan-bienz,Stephan,Bienz,,,,
b046,stanislav-birner,Stanislav,Birner,1956.10.11,,66,170
b047,bobby-blair,Bobby,Blair,1964.10.24,,70,178
b048,bob-blazekovic,Bob,Blazekovic,1960.05.26,,,
b051,gilad-bloom,Gilad,Bloom,1967.03.01,1986,73,173
b053,arnaud-boetsch,Arnaud,Boetsch,1969.04.01,1987,76,183
b054,bernard-boileau,Bernard,Boileau,1959.05.25,,75,185
b056,stephane-bonneau,Stephane,Bonneau,1961.12.08,,79,188
b058,bjorn-borg,Bjorn,Borg,1956.06.06,1973,73,180
b061,vadim-borisov,Vadim,Borisov,,,,
b059,jeff-borowiak,Jeff,Borowiak,1949.09.25,,82,193
b060,luis-borfiga,Luis,Borfiga,,,,
